LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 12481, 0, 55.66899186763881, 14.453125, 13.869681378380522,
1, 6595, 0, 99.48445792266868, 28.125, 23.945255474452555,
2, 6595, 0, 99.48445792266868, 28.125, 23.945255474452555,
3, 6595, 0, 99.48445792266868, 28.125, 23.945255474452555,
4, 6595, 0, 99.48445792266868, 28.125, 23.945255474452555,
5, 2331, 0, 151.35135135135135, 56.25, 34.106728538283065,
6, 3173, 0, 191.74283012921526, 75.0, 42.78481012658228,
7, 1222, 0, 34.41080196399346, 12.5, 7.787037037037036,
8, 3173, 0, 191.74283012921526, 75.0, 42.78481012658228,
9, 3173, 0, 191.74283012921526, 75.0, 42.78481012658228,
10, 3467, 0, 101.75944620709546, 75.0, 20.851063829787233,
11, 5259, 0, 98.57387335995436, 90.0, 19.846860643185295,
12, 1213, 0, 37.09810387469085, 25.0, 7.663487738419618,
13, 5259, 0, 98.57387335995436, 90.0, 19.846860643185295,
14, 5259, 0, 98.57387335995436, 90.0, 19.846860643185295,
15, 8619, 0, 40.932822833275324, 90.0, 7.903225806451612,
16, 14651, 0, 24.57170159033513, 100.0, 4.681647940074907,
17, 1783, 0, 28.71564778463264, 50.0, 5.5846422338568935,
18, 14651, 0, 24.57170159033513, 100.0, 4.681647940074907,
19, 14651, 0, 24.57170159033513, 100.0, 4.681647940074907,
20, 3063, 0, 1.0202415932092719, 97.65625, 0.1914828431372549,
