LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 24963, 0, 27.83338090373753, 28.7109375, 27.55193463002617,
1, 16489, 0, 39.79016313906241, 45.0, 38.31240875912409,
2, 16489, 0, 39.79016313906241, 45.0, 38.31240875912409,
3, 16489, 0, 39.79016313906241, 45.0, 38.31240875912409,
4, 16489, 0, 39.79016313906241, 45.0, 38.31240875912409,
5, 5829, 0, 60.524961399897066, 90.0, 54.570765661252906,
6, 9521, 0, 63.900850750971536, 100.0, 57.046413502109694,
7, 1222, 0, 34.41080196399346, 50.0, 31.148148148148145,
8, 9521, 0, 63.900850750971536, 100.0, 57.046413502109694,
9, 9521, 0, 63.900850750971536, 100.0, 57.046413502109694,
10, 10403, 0, 33.913294242045566, 100.0, 27.801418439716315,
11, 18935, 0, 27.377871666226564, 100.0, 22.052067381317013,
12, 1213, 0, 37.09810387469085, 100.0, 30.65395095367847,
13, 18935, 0, 27.377871666226564, 100.0, 22.052067381317013,
14, 18935, 0, 27.377871666226564, 100.0, 22.052067381317013,
15, 31031, 0, 11.369275885404917, 100.0, 8.781362007168443,
16, 58607, 0, 6.142610950910301, 100.0, 4.681647940074907,
17, 3567, 0, 14.353798710400897, 100.0, 11.169284467713789,
18, 58607, 0, 6.142610950910301, 100.0, 4.681647940074907,
19, 58607, 0, 6.142610950910301, 100.0, 4.681647940074907,
20, 12255, 0, 0.25499796001631986, 97.65625, 0.19148284313725492,
