LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg FILTER Metadata SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 0.08416306594025925, 0.22092804809318053, 0.013808003005823783, 36.37046778132632, 49.98229895700008, 50.0, 36.86926610964317,
1, 0.11511136424952786, 1.1050690967954675, 0.06906681854971672, 27.97206151263527, 49.98240366003871, 50.0, 32.932872167713704,
2, 0.11511136424952786, 1.1050690967954675, 0.06906681854971672, 27.97206151263527, 49.98240366003871, 50.0, 32.932872167713704,
3, 0.11511136424952786, 1.1050690967954675, 0.06906681854971672, 27.97206151263527, 49.98240366003871, 50.0, 32.932872167713704,
4, 0.11511136424952786, 1.1050690967954675, 0.06906681854971672, 27.97206151263527, 49.98240366003871, 50.0, 32.932872167713704,
5, 0.4153147306943543, 7.974042829331603, 0.4983776768332252, 54.26779147739563, 49.98570203031169, 50.0, 57.8478386167147,
6, 0.2277805239742956, 4.8593178447849725, 0.3037073652990608, 25.663272367770638, 49.98252581413821, 49.9904671115348, 25.903977915253108,
7, 0.20949263502454993, 6.703764320785598, 0.41898527004909986, 88.09165302782324, 50.0, 50.0, 49.999071063632144,
8, 0.2277805239742956, 4.8593178447849725, 0.3037073652990608, 25.663272367770638, 49.98252581413821, 49.9904671115348, 25.903977915253108,
9, 0.2277805239742956, 4.8593178447849725, 0.3037073652990608, 25.663272367770638, 49.98252581413821, 49.9904671115348, 25.903977915253108,
10, 0.7425870219166308, 15.841856467554791, 0.9901160292221745, 24.257842715943276, 49.98474912307458, 49.98366013071895, 27.312447078746825,
11, 0.2948208020985508, 6.289510444769085, 0.3930944027980678, 7.07569925036522, 49.98240366003871, 49.981467165111674, 7.714106349833756,
12, 0.4220939818631492, 27.01401483924155, 1.688375927452597, 47.48557295960428, 50.0, 50.0, 50.0,
13, 0.2948208020985508, 6.289510444769085, 0.3930944027980678, 7.07569925036522, 49.98240366003871, 49.981467165111674, 7.714106349833756,
14, 0.2948208020985508, 6.289510444769085, 0.3930944027980678, 7.07569925036522, 49.98240366003871, 49.981467165111674, 7.714106349833756,
15, 0.17995196594658977, 3.8389752735272484, 0.23993595459545303, 1.46960772189715, 50.0, 49.981100720127735, 1.7778897637795275,
16, 0.0755483629890078, 1.6116984104321666, 0.10073115065201041, 0.3147848457875325, 50.0, 49.98097200596051, 0.39345236519688415,
17, 0.5741519484160359, 36.7457246986263, 2.2966077936641436, 18.37286234931315, 50.0, 50.0, 49.98932112890923,
18, 0.0755483629890078, 1.6116984104321666, 0.10073115065201041, 0.3147848457875325, 50.0, 49.98097200596051, 0.39345236519688415,
19, 0.0755483629890078, 1.6116984104321666, 0.10073115065201041, 0.3147848457875325, 50.0, 49.98097200596051, 0.39345236519688415,
20, 0.11322736696613683, 7.076710435383553, 0.44229440221147204, 0.055286800276434005, 50.0, 49.98161839794126, 50.0,
